state,session_year,governor_party,upper_party,lower_party,party_control_type
CA,2021,D,D,D,Democratic
CA,2023,D,D,D,Democratic
FL,2021,R,R,R,Republican
FL,2023,R,R,R,Republican
GA,2021,R,R,R,Republican
GA,2023,R,R,R,Republican
IL,2021,D,D,D,Democratic
IL,2023,D,D,D,Democratic
NY,2021,D,D,D,Democratic
NY,2023,D,D,D,Democratic
OH,2021,R,R,R,Republican
OH,2023,R,R,R,Republican
PA,2021,D,R,R,Divided
PA,2023,D,R,D,Divided
TX,2021,R,R,R,Republican
TX,2023,R,R,R,Republican
WA,2021,D,D,D,Democratic
WA,2023,D,D,D,Democratic
WI,2021,D,R,R,Divided
WI,2023,D,R,R,Divided
