domain,token,tf,rank
education_access,education,1197,1
economic_stability,employment,535,1
healthcare_access,medicaid,420,1
neighborhood_environment,housing,336,1
healthcare_access,hospitals,302,2
neighborhood_environment,transportation,290,2
economic_stability,income,277,2
neighborhood_environment,violence,276,3
social_community,incarceration,136,1
discrimination_equity,equity,127,1
healthcare_access,telehealth,121,3
discrimination_equity,stigma,115,2
economic_stability,poverty,67,3
discrimination_equity,discrimination,65,3
education_access,graduation,62,2
social_community,isolation,54,2
healthcare_access,uninsured,39,4
education_access,literacy,30,3
economic_stability,unemployment,25,4
discrimination_equity,inequities,20,4
discrimination_equity,disparity,15,5
neighborhood_environment,neighborhood,15,4
discrimination_equity,racism,12,6
neighborhood_environment,pollution,11,5
