domain,lemma,mean_tfidf,rank
discrimination_equity,stigma,0.9869426478583057,1
discrimination_equity,disparity,0.8635844096753001,2
discrimination_equity,equity,0.724276950223333,3
discrimination_equity,discrimination,0.6548165713831292,4
discrimination_equity,racism,0.23274920674975302,5
economic_stability,income,0.6873914668379351,1
economic_stability,employment,0.58924359008811,2
economic_stability,poverty,0.4240040638226998,3
economic_stability,unemployment,0.2949766734323159,4
education_access,literacy,0.6392274737857679,1
education_access,graduation,0.49069022023363057,2
education_access,education,0.34122552500878006,3
healthcare_access,telehealth,1.041142961903587,1
healthcare_access,medicaid,0.8015890820606002,2
healthcare_access,uninsured,0.664193056464472,3
neighborhood_environment,neighborhood,1.25108265690065,1
neighborhood_environment,pollution,1.0792144054647286,2
neighborhood_environment,violence,0.84704380490074,3
neighborhood_environment,transportation,0.7820791057138141,4
social_community,isolation,1.3896637935184308,1
social_community,incarceration,1.2831307639020504,2
