state,domain,n_bills,n_mentioned,share_mentioned
CA,economic_stability,238,79,0.3319327731092437
CA,education_access,238,101,0.42436974789915966
CA,healthcare_access,238,106,0.44537815126050423
CA,neighborhood_environment,238,51,0.21428571428571427
CA,social_community,238,103,0.4327731092436975
CA,discrimination_equity,238,30,0.12605042016806722
FL,economic_stability,292,86,0.2945205479452055
FL,education_access,292,112,0.3835616438356164
FL,healthcare_access,292,102,0.3493150684931507
FL,neighborhood_environment,292,74,0.2534246575342466
FL,social_community,292,163,0.5582191780821918
FL,discrimination_equity,292,15,0.05136986301369863
GA,economic_stability,92,29,0.31521739130434784
GA,education_access,92,37,0.40217391304347827
GA,healthcare_access,92,52,0.5652173913043478
GA,neighborhood_environment,92,22,0.2391304347826087
GA,social_community,92,48,0.5217391304347826
GA,discrimination_equity,92,9,0.09782608695652174
IL,economic_stability,715,350,0.48951048951048953
IL,education_access,715,303,0.42377622377622376
IL,healthcare_access,715,365,0.5104895104895105
IL,neighborhood_environment,715,186,0.2601398601398601
IL,social_community,715,407,0.5692307692307692
IL,discrimination_equity,715,110,0.15384615384615385
NY,economic_stability,1059,180,0.16997167138810199
NY,education_access,1059,428,0.40415486307837584
NY,healthcare_access,1059,340,0.3210576015108593
NY,neighborhood_environment,1059,173,0.16336166194523136
NY,social_community,1059,485,0.45797922568460814
NY,discrimination_equity,1059,92,0.08687440982058546
OH,economic_stability,51,31,0.6078431372549019
OH,education_access,51,28,0.5490196078431373
OH,healthcare_access,51,28,0.5490196078431373
OH,neighborhood_environment,51,23,0.45098039215686275
OH,social_community,51,29,0.5686274509803921
OH,discrimination_equity,51,7,0.13725490196078433
PA,economic_stability,146,81,0.5547945205479452
PA,education_access,146,77,0.5273972602739726
PA,healthcare_access,146,64,0.4383561643835616
PA,neighborhood_environment,146,23,0.15753424657534246
PA,social_community,146,56,0.3835616438356164
PA,discrimination_equity,146,11,0.07534246575342465
TX,economic_stability,344,121,0.35174418604651164
TX,education_access,344,145,0.42151162790697677
TX,healthcare_access,344,114,0.3313953488372093
TX,neighborhood_environment,344,51,0.14825581395348839
TX,social_community,344,135,0.39244186046511625
TX,discrimination_equity,344,9,0.02616279069767442
WA,economic_stability,127,56,0.4409448818897638
WA,education_access,127,74,0.5826771653543307
WA,healthcare_access,127,91,0.7165354330708661
WA,neighborhood_environment,127,60,0.47244094488188976
WA,social_community,127,91,0.7165354330708661
WA,discrimination_equity,127,29,0.2283464566929134
WI,economic_stability,105,32,0.3047619047619048
WI,education_access,105,47,0.44761904761904764
WI,healthcare_access,105,34,0.3238095238095238
WI,neighborhood_environment,105,19,0.18095238095238095
WI,social_community,105,54,0.5142857142857142
WI,discrimination_equity,105,4,0.0380952380952381
