session_year,domain,n_bills,n_mentioned,share_mentioned
2021,economic_stability,1575,516,0.32761904761904764
2021,education_access,1575,667,0.4234920634920635
2021,healthcare_access,1575,630,0.4
2021,neighborhood_environment,1575,341,0.2165079365079365
2021,social_community,1575,804,0.5104761904761905
2021,discrimination_equity,1575,166,0.10539682539682539
2023,economic_stability,1594,529,0.3318695106649937
2023,education_access,1594,685,0.42973651191969886
2023,healthcare_access,1594,666,0.4178168130489335
2023,neighborhood_environment,1594,341,0.21392722710163112
2023,social_community,1594,767,0.48117942283563364
2023,discrimination_equity,1594,150,0.09410288582183186
