domain_group,entity_type,entity,total_mentions,n_bills
high,ORG,medicaid,1737,294
high,ORG,the_illinois_department,488,36
high,ORG,the_department_of_human_services,453,156
high,ORG,the_department_of_public_health,442,83
high,ORG,the_department_of_health,376,85
high,ORG,medicare,329,97
high,ORG,the_interstate_commission,324,10
high,ORG,the_illinois_state_police,315,41
high,ORG,mco,286,6
high,ORG,health_and_safety_code,273,33
high,ORG,the_nursing_home_care_act,248,34
high,ORG,medi_-_cal,208,32
high,ORG,family_services,191,77
high,ORG,fqhc,182,7
high,ORG,the_state_board_of_education,177,43
high,ORG,rhc,173,1
high,ORG,court,172,30
high,ORG,the_department_of_healthcare_and_family_services,165,76
high,ORG,hcra,164,4
high,ORG,the_illinois_public_aid_code,162,86
low,ORG,health_and_safety_code,195,75
low,ORG,the_task_force,64,7
low,ORG,the_welfare_and_institutions_code,58,25
low,ORG,diagnostic,39,23
