domain_group,n_bills_with_ref,n_total,category,share,method
high,332,901,Medicaid,0.36847946725860153,ngram
low,18,1246,Medicaid,0.014446227929373997,ngram
high,352,901,Schools,0.390677025527192,ngram
low,174,1246,Schools,0.13964686998394862,ngram
high,165,901,Housing,0.18312985571587126,ngram
low,15,1246,Housing,0.012038523274478331,ngram
high,279,901,Local_Government,0.30965593784683687,ngram
low,65,1246,Local_Government,0.0521669341894061,ngram
high,317,901,Medicaid,0.3518312985571587,entity
low,13,1246,Medicaid,0.01043338683788122,entity
high,117,901,Schools,0.12985571587125416,entity
low,51,1246,Schools,0.040930979133226325,entity
high,16,901,Housing,0.017758046614872364,entity
high,6,901,Local_Government,0.006659267480577136,entity
low,4,1246,Local_Government,0.0032102728731942215,entity
