topic_label,mean_gamma,median_gamma,sd_gamma,n_dominant_bills
Education & Community,0.11298460737888193,3.358052626151934e-4,0.23256940444655358,703
Advisory Bodies & Task Forces,0.06611970565127166,2.808067839589815e-4,0.16009410804032828,415
Insurance & Medicaid Coverage,0.06149353247277298,2.623892122748821e-4,0.17322015630305934,394
Criminal Justice,0.0607811847425007,2.513967939110496e-4,0.17022882329290384,358
Workforce Licensing,0.05390827865588297,2.3653298076752667e-4,0.1770229925354019,318
Involuntary & Inpatient Treatment,0.03686942743218544,2.3653298076747913e-4,0.13080435144702246,224
Budget & Fiscal Provisions,0.023805524551896,2.11520695986606e-4,0.10815108752352522,158
General Regulatory Procedures,0.017590818418221327,2.06072879027674e-4,0.09029255724755421,140
Licensing & Privacy Records,0.014515275547470237,2.1726437537974267e-4,0.08958278297365459,94
Policy Equity & Conditions,0.01333918674538972,2.078573677555253e-4,0.08145500335561054,95
Maternal & Prenatal Health,0.011553516232307078,2.0607287902774e-4,0.07672957367028413,88
Corporate & Regulatory,0.008986821716917507,1.9439074942933615e-4,0.07658274046374726,69
Drug Crime & Penalties,0.005555602207165913,1.9439074942936485e-4,0.06042566329563292,59
Healthcare Facilities & Licensing,0.0040710711854848895,1.9439074942932715e-4,0.04963245719113529,54
