topic,topic_label,is_artifact,mean_gamma,median_gamma,n_bills
17,procedural_artifact,TRUE,0.20063627710715057,3.5571071169197745e-4,3169
18,Education & Community,FALSE,0.11298460737888193,3.358052626151934e-4,3169
14,procedural_artifact,TRUE,0.09927909338581266,2.513967939110342e-4,3169
5,procedural_artifact,TRUE,0.07725517108191014,2.1924888616814127e-4,3169
9,Advisory Bodies & Task Forces,FALSE,0.06611970565127166,2.808067839589815e-4,3169
16,Insurance & Medicaid Coverage,FALSE,0.06149353247277298,2.623892122748821e-4,3169
19,Criminal Justice,FALSE,0.0607811847425007,2.513967939110496e-4,3169
10,Workforce Licensing,FALSE,0.05390827865588297,2.3653298076752667e-4,3169
7,procedural_artifact,TRUE,0.05284318922429504,2.1924888616819109e-4,3169
20,procedural_artifact,TRUE,0.040197439686558825,2.172643753798078e-4,3169
6,procedural_artifact,TRUE,0.03821427657592443,2.2332869167899673e-4,3169
1,Involuntary & Inpatient Treatment,FALSE,0.03686942743218544,2.3653298076747913e-4,3169
12,Budget & Fiscal Provisions,FALSE,0.023805524551896,2.11520695986606e-4,3169
4,General Regulatory Procedures,FALSE,0.017590818418221327,2.06072879027674e-4,3169
13,Licensing & Privacy Records,FALSE,0.014515275547470237,2.1726437537974267e-4,3169
11,Policy Equity & Conditions,FALSE,0.01333918674538972,2.078573677555253e-4,3169
3,Maternal & Prenatal Health,FALSE,0.011553516232307078,2.0607287902774e-4,3169
15,Corporate & Regulatory,FALSE,0.008986821716917507,1.9439074942933615e-4,3169
2,Drug Crime & Penalties,FALSE,0.005555602207165913,1.9439074942936485e-4,3169
8,Healthcare Facilities & Licensing,FALSE,0.0040710711854848895,1.9439074942932715e-4,3169
